model	benchmark	task	accuracy	num_instances
Qwen3-32B-temp0.6	scieval-scillm	scieval_biology_scientific_calculation	0.5	2
Qwen3-32B-temp0.6	scieval-scillm	scieval_chemistry_knowledge_application	0.18181818181818182	11
Qwen3-32B-temp0.6	scieval-scillm	scieval_biology_knowledge_application	0.3333333333333333	3
Qwen3-32B-temp0.6	scieval-scillm	scieval_physics_scientific_calculation	1.0	1
Qwen3-32B-temp0.6	scieval-scillm	scieval_chemistry_scientific_calculation	0.0	3
Qwen3-32B-temp0.6	scieval-scillm	scieval_physics_knowledge_application	1.0	1
Qwen3-32B-temp0.6	scieval-scillm	BENCHMARK_AVERAGE	0.2857142857142857	21
Qwen3-32B-temp0.6	gpqa	gpqa	0.14634146341463414	41
Qwen3-32B-temp0.6	gpqa	BENCHMARK_AVERAGE	0.14634146341463414	41
Qwen3-32B-temp0.6	supergpqa_Engineering-cot	supergpqa_Engineering:cot	0.1986754966887417	302
Qwen3-32B-temp0.6	supergpqa_Engineering-cot	BENCHMARK_AVERAGE	0.1986754966887417	302
Qwen3-32B-temp0.6	olympiadbench-scillm	olympiadbench_OE_TO_maths_en_COMP	0.17391304347826086	92
Qwen3-32B-temp0.6	olympiadbench-scillm	olympiadbench_OE_TO_physics_en_COMP	0.28	25
Qwen3-32B-temp0.6	olympiadbench-scillm	BENCHMARK_AVERAGE	0.19658119658119658	117
Qwen3-32B-temp0.6	scibench	scibench	0.375	40
Qwen3-32B-temp0.6	scibench	BENCHMARK_AVERAGE	0.375	40
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_WaveOptics	0.0	16
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_Thermodynamics	0.1875	16
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_Solid-StatePhysics	0.15384615384615385	13
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_Electrodynamics	0.058823529411764705	17
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_TheoreticalMechanics	0.0	13
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_Relativity	0.0625	16
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_SemiconductorPhysics	0.07692307692307693	13
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_QuantumMechanics	0.058823529411764705	17
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_AtomicPhysics	0.3076923076923077	13
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_StatisticalMechanics	0.13333333333333333	15
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_ClassicalMechanics	0.23529411764705882	17
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_ClassicalElectromagnetism	0.19047619047619047	21
Qwen3-32B-temp0.6	ugphysics-scillm	ugphysics_GeometricalOptics	0.1111111111111111	9
Qwen3-32B-temp0.6	ugphysics-scillm	BENCHMARK_AVERAGE	0.12244897959183673	196
Qwen3-32B-temp0.6	lab_bench-0shot_cot-scillm	lab_bench_ProtocolQA:cot	0.0	10
Qwen3-32B-temp0.6	lab_bench-0shot_cot-scillm	lab_bench_CloningScenarios:cot	0.5	2
Qwen3-32B-temp0.6	lab_bench-0shot_cot-scillm	lab_bench_SeqQA:cot	0.21348314606741572	89
Qwen3-32B-temp0.6	lab_bench-0shot_cot-scillm	BENCHMARK_AVERAGE	0.19801980198019803	101
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_computer science:cot	0.3333333333333333	6
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_health:cot	0.2	5
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_math:cot	0.3333333333333333	3
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_physics:cot	0.4	5
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_chemistry:cot	0.0	3
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_engineering:cot	0.2857142857142857	14
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	mmlu_pro_biology:cot	0.3333333333333333	6
Qwen3-32B-temp0.6	mmlu_pro-0shot_cot-scillm	BENCHMARK_AVERAGE	0.2857142857142857	42
Qwen3-32B-temp0.6	supergpqa_Science-cot	supergpqa_Science:cot	0.2225	400
Qwen3-32B-temp0.6	supergpqa_Science-cot	BENCHMARK_AVERAGE	0.2225	400
Qwen3-32B-temp0.6	ALL_BENCHMARKS	MODEL_AVERAGE	0.20238095238095238	1260
