model	benchmark	task	accuracy	num_instances
qwen-insturct-synthetic_1-sft	scibench	scibench	0.225	40
qwen-insturct-synthetic_1-sft	scibench	BENCHMARK_AVERAGE	0.225	40
qwen-insturct-synthetic_1-sft	lab_bench-0shot_cot-scillm	lab_bench_ProtocolQA:cot	0.4	10
qwen-insturct-synthetic_1-sft	lab_bench-0shot_cot-scillm	lab_bench_CloningScenarios:cot	0.5	2
qwen-insturct-synthetic_1-sft	lab_bench-0shot_cot-scillm	lab_bench_SeqQA:cot	0.20224719101123595	89
qwen-insturct-synthetic_1-sft	lab_bench-0shot_cot-scillm	BENCHMARK_AVERAGE	0.22772277227722773	101
qwen-insturct-synthetic_1-sft	gpqa	gpqa	0.2926829268292683	41
qwen-insturct-synthetic_1-sft	gpqa	BENCHMARK_AVERAGE	0.2926829268292683	41
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_computer science:cot	0.16666666666666666	6
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_health:cot	0.6	5
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_math:cot	0.3333333333333333	3
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_physics:cot	0.4	5
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_chemistry:cot	0.0	3
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_engineering:cot	0.2857142857142857	14
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	mmlu_pro_biology:cot	0.3333333333333333	6
qwen-insturct-synthetic_1-sft	mmlu_pro-0shot_cot-scillm	BENCHMARK_AVERAGE	0.30952380952380953	42
qwen-insturct-synthetic_1-sft	supergpqa-scillm	supergpqa_Science:cot	0.14	400
qwen-insturct-synthetic_1-sft	supergpqa-scillm	supergpqa_Engineering:cot	0.18211920529801323	302
qwen-insturct-synthetic_1-sft	supergpqa-scillm	BENCHMARK_AVERAGE	0.1581196581196581	702
qwen-insturct-synthetic_1-sft	scieval-scillm	scieval_biology_scientific_calculation	1.0	2
qwen-insturct-synthetic_1-sft	scieval-scillm	scieval_chemistry_knowledge_application	0.0	11
qwen-insturct-synthetic_1-sft	scieval-scillm	scieval_biology_knowledge_application	0.6666666666666666	3
qwen-insturct-synthetic_1-sft	scieval-scillm	scieval_physics_scientific_calculation	0.0	1
qwen-insturct-synthetic_1-sft	scieval-scillm	scieval_chemistry_scientific_calculation	0.6666666666666666	3
qwen-insturct-synthetic_1-sft	scieval-scillm	scieval_physics_knowledge_application	1.0	1
qwen-insturct-synthetic_1-sft	scieval-scillm	BENCHMARK_AVERAGE	0.3333333333333333	21
qwen-insturct-synthetic_1-sft	olympiadbench-scillm	olympiadbench_OE_TO_maths_en_COMP	0.20652173913043478	92
qwen-insturct-synthetic_1-sft	olympiadbench-scillm	olympiadbench_OE_TO_physics_en_COMP	0.2	25
qwen-insturct-synthetic_1-sft	olympiadbench-scillm	BENCHMARK_AVERAGE	0.20512820512820512	117
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_WaveOptics	0.1875	16
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_Thermodynamics	0.375	16
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_Solid-StatePhysics	0.46153846153846156	13
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_Electrodynamics	0.35294117647058826	17
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_TheoreticalMechanics	0.46153846153846156	13
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_Relativity	0.1875	16
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_SemiconductorPhysics	0.23076923076923078	13
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_QuantumMechanics	0.5882352941176471	17
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_AtomicPhysics	0.46153846153846156	13
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_StatisticalMechanics	0.26666666666666666	15
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_ClassicalMechanics	0.29411764705882354	17
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_ClassicalElectromagnetism	0.2857142857142857	21
qwen-insturct-synthetic_1-sft	ugphysics-scillm	ugphysics_GeometricalOptics	0.3333333333333333	9
qwen-insturct-synthetic_1-sft	ugphysics-scillm	BENCHMARK_AVERAGE	0.34183673469387754	196
qwen-insturct-synthetic_1-sft	ALL_BENCHMARKS	MODEL_AVERAGE	0.2111111111111111	1260
